name,type,source,producers,genre,studio,episodes,status,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,duration_in_minutes,log_scored_by,log_members,log_favorites,season,year,only_year,weekday,time,time_in_minutes
Shoukoushi Cedie,TV,Novel,Fuji TV,Slice of Life,Nippon Animation,43.0,Finished Airing,1988-01-10,1988-12-02,24 min per ep,G - All Ages,7.48,843,1752,7028,2308,12,Winter 1988,Sundays at 19:30 (JST),24.0,6.738152494595957,7.744569809354496,2.5649493574615367,Winter,1988-01-01,1988,Sundays,19:30:00,1170.0
Trapp Ikka Monogatari,TV,Unknown,Fuji TV,Drama,Nippon Animation,40.0,Finished Airing,1991-01-13,1991-12-02,23 min per ep,G - All Ages,7.71,1887,1105,5580,4307,14,Winter 1991,Sundays at 19:30 (JST),23.0,7.543273346705446,8.36822903827628,2.70805020110221,Winter,1991-01-01,1991,Sundays,19:30:00,1170.0
Shion no Ou,TV,Manga,Yomiko Advertising,Drama,Studio Deen,22.0,Finished Airing,2007-10-14,2008-03-02,23 min per ep,PG-13 - Teens 13 or older,7.62,8501,1326,2575,24690,81,Fall 2007,Unknown,23.0,9.048056708918736,10.114194083746655,4.406719247264253,Fall,2007-01-01,2007,Unknown,,
Code-E,TV,Original,Nagoya Broadcasting Network,Comedy,Studio Deen,12.0,Finished Airing,2007-07-04,2007-09-01,24 min per ep,G - All Ages,6.48,6032,5858,3413,14370,19,Summer 2007,Unknown,24.0,8.704999678440762,9.572967566074247,2.995732273553991,Summer,2007-01-01,2007,Unknown,,
Mobile Suit Gundam 00,TV,Original,Sotsu,Action,Sunrise,25.0,Finished Airing,2007-10-06,2008-03-02,24 min per ep,R - 17+ (violence & profanity),8.2,86226,322,616,152867,4003,Fall 2007,Saturdays at 18:00 (JST),24.0,11.364738632665063,11.937330082897788,8.295049140435111,Fall,2007-01-01,2007,Saturdays,18:00:00,1080.0
Soukou Kihei Votoms,TV,Original,TV Tokyo,Action,Sunrise,52.0,Finished Airing,1983-04-01,1984-03-02,25 min per ep,PG-13 - Teens 13 or older,7.81,3290,885,3505,13499,283,Spring 1983,Unknown,25.0,8.098946748943339,9.51044496442652,5.648974238161206,Spring,1983-01-01,1983,Unknown,,
D.C.II: Da Capo II,TV,Visual novel,Starchild Records,Drama,feel.,13.0,Finished Airing,2007-10-02,2007-12-02,25 min per ep,PG-13 - Teens 13 or older,7.0,13291,3667,2331,29479,43,Fall 2007,Unknown,25.0,9.494917629474484,10.291467346303273,3.784189633918261,Fall,2007-01-01,2007,Unknown,,
Juusenki L-Gaim,TV,Original,Sotsu,Action,Sunrise,54.0,Finished Airing,1984-02-04,1985-02-02,24 min per ep,PG-13 - Teens 13 or older,6.8,567,4425,6226,3256,11,Winter 1984,Unknown,24.0,6.342121418721152,8.088561805276234,2.4849066497880004,Winter,1984-01-01,1984,Unknown,,
Kenkou Zenrakei Suieibu Umishou,TV,Manga,Geneon Universal Entertainment,Comedy,Artland,13.0,Finished Airing,2007-07-04,2007-09-02,25 min per ep,PG-13 - Teens 13 or older,7.21,13848,2820,2281,30553,87,Summer 2007,Unknown,25.0,9.535968306842717,10.327250888925668,4.477336814478207,Summer,2007-01-01,2007,Unknown,,
Sky Girls,TV,Original,Konami,Mecha,J.C.Staff,26.0,Finished Airing,2007-07-06,2007-12-02,24 min per ep,PG-13 - Teens 13 or older,7.08,7269,3368,2911,19593,46,Summer 2007,Unknown,24.0,8.891511570527564,9.882978675904587,3.8501476017100584,Summer,2007-01-01,2007,Unknown,,
